# xi	p/p(1)	rho/rho(1)	u/u(1)
0.62000000	0.32103634	0.04160207	0.50236355
0.62400000	0.32169238	0.04290095	0.50587804
0.62800000	0.32237395	0.04423513	0.50940591
0.63200000	0.32308195	0.04560560	0.51294762
0.63600000	0.32381732	0.04701337	0.51650368
0.64000000	0.32458105	0.04845950	0.52007458
0.64400000	0.32537414	0.04994506	0.52366084
0.64800000	0.32619763	0.05147121	0.52726299
0.65200000	0.32705262	0.05303911	0.53088158
0.65600000	0.32794022	0.05465000	0.53451717
0.66000000	0.32886162	0.05630515	0.53817034
0.66400000	0.32981803	0.05800588	0.54184167
0.66800000	0.33081070	0.05975357	0.54553178
0.67200000	0.33184095	0.06154967	0.54924128
0.67600000	0.33291013	0.06339567	0.55297082
0.68000000	0.33401966	0.06529314	0.55672104
0.68400000	0.33517101	0.06724369	0.56049262
0.68800000	0.33636571	0.06924904	0.56428624
0.69200000	0.33760535	0.07131095	0.56810262
0.69600000	0.33889158	0.07343127	0.57194246
0.70000000	0.34022611	0.07561195	0.57580650
0.70400000	0.34161071	0.07785493	0.57969549
0.70800000	0.34304736	0.08016254	0.58361024
0.71200000	0.34453788	0.08253677	0.58755149
0.71600000	0.34608434	0.08498003	0.59152005
0.72000000	0.34768884	0.08749472	0.59551677
0.72400000	0.34935359	0.09008338	0.59954246
0.72800000	0.35108088	0.09274869	0.60359799
0.73200000	0.35287312	0.09549342	0.60768424
0.73600000	0.35473279	0.09832050	0.61180208
0.74000000	0.35666252	0.10123301	0.61595243
0.74400000	0.35866502	0.10423416	0.62013621
0.74800000	0.36074314	0.10732733	0.62435435
0.75200000	0.36289986	0.11051609	0.62860781
0.75600000	0.36513830	0.11380417	0.63289757
0.76000000	0.36746170	0.11719549	0.63722460
0.76400000	0.36987348	0.12069420	0.64158990
0.76800000	0.37237718	0.12430464	0.64599449
0.77200000	0.37497656	0.12803139	0.65043938
0.77600000	0.37767550	0.13187929	0.65492562
0.78000000	0.38047811	0.13585340	0.65945425
0.78400000	0.38338867	0.13995910	0.66402634
0.78800000	0.38641167	0.14420203	0.66864294
0.79200000	0.38955183	0.14858817	0.67330514
0.79600000	0.39281409	0.15312381	0.67801402
0.80000000	0.39620365	0.15781560	0.68277067
0.80400000	0.39972594	0.16267056	0.68757617
0.80800000	0.40338668	0.16769613	0.69243163
0.81200000	0.40719189	0.17290016	0.69733814
0.81600000	0.41114787	0.17829095	0.70229680
0.82000000	0.41526126	0.18387730	0.70730869
0.82400000	0.41953903	0.18966851	0.71237491
0.82800000	0.42398852	0.19567445	0.71749654
0.83200000	0.42861746	0.20190558	0.72267463
0.83600000	0.43343395	0.20837297	0.72791026
0.84000000	0.43844657	0.21508837	0.73320447
0.84400000	0.44366432	0.22206426	0.73855828
0.84800000	0.44909671	0.22931387	0.74397271
0.85200000	0.45475372	0.23685128	0.74944872
0.85600000	0.46064594	0.24469142	0.75498729
0.86000000	0.46678447	0.25285018	0.76058935
0.86400000	0.47318108	0.26134447	0.76625578
0.86800000	0.47984816	0.27019225	0.77198745
0.87200000	0.48679880	0.27941267	0.77778520
0.87600000	0.49404685	0.28902612	0.78364978
0.88000000	0.50160691	0.29905433	0.78958196
0.88400000	0.50949446	0.30952045	0.79558240
0.88800000	0.51772583	0.32044920	0.80165175
0.89200000	0.52631834	0.33186694	0.80779059
0.89600000	0.53529029	0.34380183	0.81399944
0.90000000	0.54466109	0.35628395	0.82027877
0.90400000	0.55445129	0.36934545	0.82662896
0.90800000	0.56468267	0.38302070	0.83305035
0.91200000	0.57537836	0.39734651	0.83954320
0.91600000	0.58656287	0.41236227	0.84610769
0.92000000	0.59826224	0.42811017	0.85274394
